"","Category","Subcategory","Attribute","SubAttribute","MicroAttribute","Measurement","Value","Bil_Dols","Value_Type","Year"
"19","Food and beverage and tobacco products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Food and beverage and tobacco products_MA","Digital Economy Real Gross Output by Industry",3838,3.838,"[Millions of chained (2017) dollars]",2018
"20","Food and beverage and tobacco products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Food and beverage and tobacco products_MA","Digital Economy Real Gross Output by Industry",3474,3.474,"[Millions of chained (2017) dollars]",2019
"21","Food and beverage and tobacco products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Food and beverage and tobacco products_MA","Digital Economy Real Gross Output by Industry",3352,3.352,"[Millions of chained (2017) dollars]",2022
"22","Food and beverage and tobacco products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Food and beverage and tobacco products_MA","Digital Economy Real Gross Output by Industry",3341,3.341,"[Millions of chained (2017) dollars]",2020
"23","Food and beverage and tobacco products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Food and beverage and tobacco products_MA","Digital Economy Real Gross Output by Industry",3331,3.331,"[Millions of chained (2017) dollars]",2021
"24","Petroleum and coal products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Petroleum and coal products_MA","Digital Economy Real Gross Output by Industry",3047,3.047,"[Millions of chained (2017) dollars]",2018
"25","Food and beverage and tobacco products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Food and beverage and tobacco products_MA","Digital Economy Real Gross Output by Industry",2979,2.979,"[Millions of chained (2017) dollars]",2017
"26","Petroleum and coal products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Petroleum and coal products_MA","Digital Economy Real Gross Output by Industry",2506,2.506,"[Millions of chained (2017) dollars]",2019
"27","Petroleum and coal products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Petroleum and coal products_MA","Digital Economy Real Gross Output by Industry",2399,2.399,"[Millions of chained (2017) dollars]",2021
"28","Petroleum and coal products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Petroleum and coal products_MA","Digital Economy Real Gross Output by Industry",1953,1.953,"[Millions of chained (2017) dollars]",2017
"29","Petroleum and coal products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Petroleum and coal products_MA","Digital Economy Real Gross Output by Industry",1817,1.817,"[Millions of chained (2017) dollars]",2022
"30","Petroleum and coal products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Petroleum and coal products_MA","Digital Economy Real Gross Output by Industry",1692,1.692,"[Millions of chained (2017) dollars]",2020
"31","Paper products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Paper products_MA","Digital Economy Real Gross Output by Industry",1398,1.398,"[Millions of chained (2017) dollars]",2017
"32","Plastics and rubber products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Plastics and rubber products_MA","Digital Economy Real Gross Output by Industry",965,0.965,"[Millions of chained (2017) dollars]",2017
"33","Plastics and rubber products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Plastics and rubber products_MA","Digital Economy Real Gross Output by Industry",856,0.856,"[Millions of chained (2017) dollars]",2018
"34","Plastics and rubber products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Plastics and rubber products_MA","Digital Economy Real Gross Output by Industry",782,0.782,"[Millions of chained (2017) dollars]",2021
"35","Plastics and rubber products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Plastics and rubber products_MA","Digital Economy Real Gross Output by Industry",776,0.776,"[Millions of chained (2017) dollars]",2019
"36","Plastics and rubber products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Plastics and rubber products_MA","Digital Economy Real Gross Output by Industry",733,0.733,"[Millions of chained (2017) dollars]",2022
"37","Plastics and rubber products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Plastics and rubber products_MA","Digital Economy Real Gross Output by Industry",694,0.694,"[Millions of chained (2017) dollars]",2020
"38","Paper products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Paper products_MA","Digital Economy Real Gross Output by Industry",591,0.591,"[Millions of chained (2017) dollars]",2022
"39","Paper products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Paper products_MA","Digital Economy Real Gross Output by Industry",588,0.588,"[Millions of chained (2017) dollars]",2021
"40","Paper products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Paper products_MA","Digital Economy Real Gross Output by Industry",577,0.577,"[Millions of chained (2017) dollars]",2019
"41","Printing and related support activities","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Printing and related support activities_MA","Digital Economy Real Gross Output by Industry",562,0.562,"[Millions of chained (2017) dollars]",2017
"42","Paper products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Paper products_MA","Digital Economy Real Gross Output by Industry",537,0.537,"[Millions of chained (2017) dollars]",2020
"43","Paper products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Paper products_MA","Digital Economy Real Gross Output by Industry",523,0.523,"[Millions of chained (2017) dollars]",2018
"44","Printing and related support activities","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Printing and related support activities_MA","Digital Economy Real Gross Output by Industry",459,0.459,"[Millions of chained (2017) dollars]",2018
"45","Printing and related support activities","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Printing and related support activities_MA","Digital Economy Real Gross Output by Industry",451,0.451,"[Millions of chained (2017) dollars]",2020
"46","Printing and related support activities","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Printing and related support activities_MA","Digital Economy Real Gross Output by Industry",451,0.451,"[Millions of chained (2017) dollars]",2022
"47","Printing and related support activities","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Printing and related support activities_MA","Digital Economy Real Gross Output by Industry",450,0.45,"[Millions of chained (2017) dollars]",2019
"48","Printing and related support activities","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Printing and related support activities_MA","Digital Economy Real Gross Output by Industry",438,0.438,"[Millions of chained (2017) dollars]",2021
"49","Apparel and leather and allied products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Apparel and leather and allied products_MA","Digital Economy Real Gross Output by Industry",148,0.148,"[Millions of chained (2017) dollars]",2022
"50","Textile mills and textile product mills","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Textile mills and textile product mills_MA","Digital Economy Real Gross Output by Industry",143,0.143,"[Millions of chained (2017) dollars]",2021
"51","Textile mills and textile product mills","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Textile mills and textile product mills_MA","Digital Economy Real Gross Output by Industry",140,0.14,"[Millions of chained (2017) dollars]",2019
"52","Textile mills and textile product mills","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Textile mills and textile product mills_MA","Digital Economy Real Gross Output by Industry",139,0.139,"[Millions of chained (2017) dollars]",2022
"53","Textile mills and textile product mills","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Textile mills and textile product mills_MA","Digital Economy Real Gross Output by Industry",135,0.135,"[Millions of chained (2017) dollars]",2017
"54","Apparel and leather and allied products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Apparel and leather and allied products_MA","Digital Economy Real Gross Output by Industry",134,0.134,"[Millions of chained (2017) dollars]",2021
"55","Textile mills and textile product mills","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Textile mills and textile product mills_MA","Digital Economy Real Gross Output by Industry",132,0.132,"[Millions of chained (2017) dollars]",2018
"56","Textile mills and textile product mills","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Textile mills and textile product mills_MA","Digital Economy Real Gross Output by Industry",128,0.128,"[Millions of chained (2017) dollars]",2020
"57","Apparel and leather and allied products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Apparel and leather and allied products_MA","Digital Economy Real Gross Output by Industry",120,0.12,"[Millions of chained (2017) dollars]",2018
"58","Apparel and leather and allied products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Apparel and leather and allied products_MA","Digital Economy Real Gross Output by Industry",116,0.116,"[Millions of chained (2017) dollars]",2017
"59","Apparel and leather and allied products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Apparel and leather and allied products_MA","Digital Economy Real Gross Output by Industry",111,0.111,"[Millions of chained (2017) dollars]",2019
"60","Apparel and leather and allied products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Apparel and leather and allied products_MA","Digital Economy Real Gross Output by Industry",110,0.11,"[Millions of chained (2017) dollars]",2020
"61","Nondurable goods","Private industries_SC","Manufacturing_A","Nondurable goods_TOTAL_SA","Nondurable goods_TOTAL_MA","Digital Economy Real Gross Output by Industry",14487,14.487,"[Millions of chained (2017) dollars]",2018
"62","Nondurable goods","Private industries_SC","Manufacturing_A","Nondurable goods_TOTAL_SA","Nondurable goods_TOTAL_MA","Digital Economy Real Gross Output by Industry",14167,14.167,"[Millions of chained (2017) dollars]",2017
"63","Nondurable goods","Private industries_SC","Manufacturing_A","Nondurable goods_TOTAL_SA","Nondurable goods_TOTAL_MA","Digital Economy Real Gross Output by Industry",13511,13.511,"[Millions of chained (2017) dollars]",2021
"64","Nondurable goods","Private industries_SC","Manufacturing_A","Nondurable goods_TOTAL_SA","Nondurable goods_TOTAL_MA","Digital Economy Real Gross Output by Industry",13120,13.12,"[Millions of chained (2017) dollars]",2022
"65","Nondurable goods","Private industries_SC","Manufacturing_A","Nondurable goods_TOTAL_SA","Nondurable goods_TOTAL_MA","Digital Economy Real Gross Output by Industry",13111,13.111,"[Millions of chained (2017) dollars]",2019
"66","Nondurable goods","Private industries_SC","Manufacturing_A","Nondurable goods_TOTAL_SA","Nondurable goods_TOTAL_MA","Digital Economy Real Gross Output by Industry",12162,12.162,"[Millions of chained (2017) dollars]",2020
"67","Machinery","Private industries_SC","Manufacturing_A","Other durable goods_SA","Machinery_MA","Digital Economy Real Gross Output by Industry",16503,16.503,"[Millions of chained (2017) dollars]",2017
"68","Machinery","Private industries_SC","Manufacturing_A","Other durable goods_SA","Machinery_MA","Digital Economy Real Gross Output by Industry",13979,13.979,"[Millions of chained (2017) dollars]",2022
"69","Machinery","Private industries_SC","Manufacturing_A","Other durable goods_SA","Machinery_MA","Digital Economy Real Gross Output by Industry",13415,13.415,"[Millions of chained (2017) dollars]",2021
"70","Machinery","Private industries_SC","Manufacturing_A","Other durable goods_SA","Machinery_MA","Digital Economy Real Gross Output by Industry",11746,11.746,"[Millions of chained (2017) dollars]",2018
"71","Machinery","Private industries_SC","Manufacturing_A","Other durable goods_SA","Machinery_MA","Digital Economy Real Gross Output by Industry",11137,11.137,"[Millions of chained (2017) dollars]",2019
"72","Electrical equipment, appliances, and components","Private industries_SC","Manufacturing_A","Other durable goods_SA","Electrical equipment, appliances, and components_MA","Digital Economy Real Gross Output by Industry",11023,11.023,"[Millions of chained (2017) dollars]",2017
"73","Machinery","Private industries_SC","Manufacturing_A","Other durable goods_SA","Machinery_MA","Digital Economy Real Gross Output by Industry",10839,10.839,"[Millions of chained (2017) dollars]",2020
"74","Electrical equipment, appliances, and components","Private industries_SC","Manufacturing_A","Other durable goods_SA","Electrical equipment, appliances, and components_MA","Digital Economy Real Gross Output by Industry",10813,10.813,"[Millions of chained (2017) dollars]",2019
"75","Electrical equipment, appliances, and components","Private industries_SC","Manufacturing_A","Other durable goods_SA","Electrical equipment, appliances, and components_MA","Digital Economy Real Gross Output by Industry",10628,10.628,"[Millions of chained (2017) dollars]",2018
"76","Electrical equipment, appliances, and components","Private industries_SC","Manufacturing_A","Other durable goods_SA","Electrical equipment, appliances, and components_MA","Digital Economy Real Gross Output by Industry",10494,10.494,"[Millions of chained (2017) dollars]",2022
"77","Electrical equipment, appliances, and components","Private industries_SC","Manufacturing_A","Other durable goods_SA","Electrical equipment, appliances, and components_MA","Digital Economy Real Gross Output by Industry",10470,10.47,"[Millions of chained (2017) dollars]",2021
"78","Electrical equipment, appliances, and components","Private industries_SC","Manufacturing_A","Other durable goods_SA","Electrical equipment, appliances, and components_MA","Digital Economy Real Gross Output by Industry",10390,10.39,"[Millions of chained (2017) dollars]",2020
"79","Miscellaneous manufacturing","Private industries_SC","Manufacturing_A","Other durable goods_SA","Miscellaneous manufacturing_MA","Digital Economy Real Gross Output by Industry",2550,2.55,"[Millions of chained (2017) dollars]",2017
"80","Miscellaneous manufacturing","Private industries_SC","Manufacturing_A","Other durable goods_SA","Miscellaneous manufacturing_MA","Digital Economy Real Gross Output by Industry",2361,2.361,"[Millions of chained (2017) dollars]",2018
"81","Motor vehicles, bodies and trailers, and parts","Private industries_SC","Manufacturing_A","Other durable goods_SA","Motor vehicles, bodies and trailers, and parts_MA","Digital Economy Real Gross Output by Industry",2348,2.348,"[Millions of chained (2017) dollars]",2017
"82","Miscellaneous manufacturing","Private industries_SC","Manufacturing_A","Other durable goods_SA","Miscellaneous manufacturing_MA","Digital Economy Real Gross Output by Industry",2228,2.228,"[Millions of chained (2017) dollars]",2022
"83","Miscellaneous manufacturing","Private industries_SC","Manufacturing_A","Other durable goods_SA","Miscellaneous manufacturing_MA","Digital Economy Real Gross Output by Industry",2191,2.191,"[Millions of chained (2017) dollars]",2019
"84","Miscellaneous manufacturing","Private industries_SC","Manufacturing_A","Other durable goods_SA","Miscellaneous manufacturing_MA","Digital Economy Real Gross Output by Industry",1962,1.962,"[Millions of chained (2017) dollars]",2020
"85","Motor vehicles, bodies and trailers, and parts","Private industries_SC","Manufacturing_A","Other durable goods_SA","Motor vehicles, bodies and trailers, and parts_MA","Digital Economy Real Gross Output by Industry",1959,1.959,"[Millions of chained (2017) dollars]",2018
"86","Miscellaneous manufacturing","Private industries_SC","Manufacturing_A","Other durable goods_SA","Miscellaneous manufacturing_MA","Digital Economy Real Gross Output by Industry",1937,1.937,"[Millions of chained (2017) dollars]",2021
"87","Motor vehicles, bodies and trailers, and parts","Private industries_SC","Manufacturing_A","Other durable goods_SA","Motor vehicles, bodies and trailers, and parts_MA","Digital Economy Real Gross Output by Industry",1725,1.725,"[Millions of chained (2017) dollars]",2019
"88","Motor vehicles, bodies and trailers, and parts","Private industries_SC","Manufacturing_A","Other durable goods_SA","Motor vehicles, bodies and trailers, and parts_MA","Digital Economy Real Gross Output by Industry",1442,1.442,"[Millions of chained (2017) dollars]",2022
"89","Motor vehicles, bodies and trailers, and parts","Private industries_SC","Manufacturing_A","Other durable goods_SA","Motor vehicles, bodies and trailers, and parts_MA","Digital Economy Real Gross Output by Industry",1421,1.421,"[Millions of chained (2017) dollars]",2020
"90","Motor vehicles, bodies and trailers, and parts","Private industries_SC","Manufacturing_A","Other durable goods_SA","Motor vehicles, bodies and trailers, and parts_MA","Digital Economy Real Gross Output by Industry",1402,1.402,"[Millions of chained (2017) dollars]",2021
"91","Fabricated metal products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Fabricated metal products_MA","Digital Economy Real Gross Output by Industry",1306,1.306,"[Millions of chained (2017) dollars]",2018
"92","Fabricated metal products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Fabricated metal products_MA","Digital Economy Real Gross Output by Industry",1227,1.227,"[Millions of chained (2017) dollars]",2017
"93","Fabricated metal products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Fabricated metal products_MA","Digital Economy Real Gross Output by Industry",1157,1.157,"[Millions of chained (2017) dollars]",2019
"94","Fabricated metal products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Fabricated metal products_MA","Digital Economy Real Gross Output by Industry",1085,1.085,"[Millions of chained (2017) dollars]",2020
"95","Other transportation equipment","Private industries_SC","Manufacturing_A","Other durable goods_SA","Other transportation equipment_MA","Digital Economy Real Gross Output by Industry",1084,1.084,"[Millions of chained (2017) dollars]",2018
"96","Fabricated metal products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Fabricated metal products_MA","Digital Economy Real Gross Output by Industry",1039,1.039,"[Millions of chained (2017) dollars]",2022
"97","Fabricated metal products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Fabricated metal products_MA","Digital Economy Real Gross Output by Industry",1029,1.029,"[Millions of chained (2017) dollars]",2021
"98","Other transportation equipment","Private industries_SC","Manufacturing_A","Other durable goods_SA","Other transportation equipment_MA","Digital Economy Real Gross Output by Industry",1016,1.016,"[Millions of chained (2017) dollars]",2019
"99","Other transportation equipment","Private industries_SC","Manufacturing_A","Other durable goods_SA","Other transportation equipment_MA","Digital Economy Real Gross Output by Industry",883,0.883,"[Millions of chained (2017) dollars]",2022
"100","Other transportation equipment","Private industries_SC","Manufacturing_A","Other durable goods_SA","Other transportation equipment_MA","Digital Economy Real Gross Output by Industry",876,0.876,"[Millions of chained (2017) dollars]",2020
"101","Other transportation equipment","Private industries_SC","Manufacturing_A","Other durable goods_SA","Other transportation equipment_MA","Digital Economy Real Gross Output by Industry",831,0.831,"[Millions of chained (2017) dollars]",2017
"102","Other transportation equipment","Private industries_SC","Manufacturing_A","Other durable goods_SA","Other transportation equipment_MA","Digital Economy Real Gross Output by Industry",831,0.831,"[Millions of chained (2017) dollars]",2021
"103","Primary metals","Private industries_SC","Manufacturing_A","Other durable goods_SA","Primary metals_MA","Digital Economy Real Gross Output by Industry",749,0.749,"[Millions of chained (2017) dollars]",2017
"104","Primary metals","Private industries_SC","Manufacturing_A","Other durable goods_SA","Primary metals_MA","Digital Economy Real Gross Output by Industry",472,0.472,"[Millions of chained (2017) dollars]",2018
"105","Primary metals","Private industries_SC","Manufacturing_A","Other durable goods_SA","Primary metals_MA","Digital Economy Real Gross Output by Industry",455,0.455,"[Millions of chained (2017) dollars]",2019
"106","Nonmetallic mineral products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Nonmetallic mineral products_MA","Digital Economy Real Gross Output by Industry",424,0.424,"[Millions of chained (2017) dollars]",2019
"107","Nonmetallic mineral products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Nonmetallic mineral products_MA","Digital Economy Real Gross Output by Industry",376,0.376,"[Millions of chained (2017) dollars]",2018
"108","Nonmetallic mineral products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Nonmetallic mineral products_MA","Digital Economy Real Gross Output by Industry",372,0.372,"[Millions of chained (2017) dollars]",2017
"109","Nonmetallic mineral products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Nonmetallic mineral products_MA","Digital Economy Real Gross Output by Industry",359,0.359,"[Millions of chained (2017) dollars]",2020
"110","Primary metals","Private industries_SC","Manufacturing_A","Other durable goods_SA","Primary metals_MA","Digital Economy Real Gross Output by Industry",357,0.357,"[Millions of chained (2017) dollars]",2020
"111","Nonmetallic mineral products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Nonmetallic mineral products_MA","Digital Economy Real Gross Output by Industry",316,0.316,"[Millions of chained (2017) dollars]",2021
"112","Primary metals","Private industries_SC","Manufacturing_A","Other durable goods_SA","Primary metals_MA","Digital Economy Real Gross Output by Industry",310,0.31,"[Millions of chained (2017) dollars]",2021
"113","Furniture and related products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Furniture and related products_MA","Digital Economy Real Gross Output by Industry",306,0.306,"[Millions of chained (2017) dollars]",2018
"114","Primary metals","Private industries_SC","Manufacturing_A","Other durable goods_SA","Primary metals_MA","Digital Economy Real Gross Output by Industry",306,0.306,"[Millions of chained (2017) dollars]",2022
"115","Furniture and related products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Furniture and related products_MA","Digital Economy Real Gross Output by Industry",299,0.299,"[Millions of chained (2017) dollars]",2021
"116","Furniture and related products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Furniture and related products_MA","Digital Economy Real Gross Output by Industry",288,0.288,"[Millions of chained (2017) dollars]",2017
"117","Furniture and related products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Furniture and related products_MA","Digital Economy Real Gross Output by Industry",281,0.281,"[Millions of chained (2017) dollars]",2022
"118","Furniture and related products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Furniture and related products_MA","Digital Economy Real Gross Output by Industry",279,0.279,"[Millions of chained (2017) dollars]",2019
"119","Nonmetallic mineral products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Nonmetallic mineral products_MA","Digital Economy Real Gross Output by Industry",275,0.275,"[Millions of chained (2017) dollars]",2022
"120","Furniture and related products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Furniture and related products_MA","Digital Economy Real Gross Output by Industry",273,0.273,"[Millions of chained (2017) dollars]",2020
"121","Wood products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Wood products_MA","Digital Economy Real Gross Output by Industry",263,0.263,"[Millions of chained (2017) dollars]",2021
"122","Wood products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Wood products_MA","Digital Economy Real Gross Output by Industry",259,0.259,"[Millions of chained (2017) dollars]",2020
"123","Wood products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Wood products_MA","Digital Economy Real Gross Output by Industry",241,0.241,"[Millions of chained (2017) dollars]",2018
"124","Wood products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Wood products_MA","Digital Economy Real Gross Output by Industry",234,0.234,"[Millions of chained (2017) dollars]",2019
"125","Wood products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Wood products_MA","Digital Economy Real Gross Output by Industry",212,0.212,"[Millions of chained (2017) dollars]",2017
"126","Wood products","Private industries_SC","Manufacturing_A","Other durable goods_SA","Wood products_MA","Digital Economy Real Gross Output by Industry",210,0.21,"[Millions of chained (2017) dollars]",2022
"127","Accommodation","Private industries_SC","Arts, entertainment, recreation, accommodation, and food services_A","Accommodation and food service_SA","Accommodation_MA","Digital Economy Real Gross Output by Industry",328,0.328,"[Millions of chained (2017) dollars]",2022
"128","Accommodation","Private industries_SC","Arts, entertainment, recreation, accommodation, and food services_A","Accommodation and food service_SA","Accommodation_MA","Digital Economy Real Gross Output by Industry",262,0.262,"[Millions of chained (2017) dollars]",2021
"129","Accommodation","Private industries_SC","Arts, entertainment, recreation, accommodation, and food services_A","Accommodation and food service_SA","Accommodation_MA","Digital Economy Real Gross Output by Industry",250,0.25,"[Millions of chained (2017) dollars]",2019
"130","Accommodation","Private industries_SC","Arts, entertainment, recreation, accommodation, and food services_A","Accommodation and food service_SA","Accommodation_MA","Digital Economy Real Gross Output by Industry",227,0.227,"[Millions of chained (2017) dollars]",2018
"131","Accommodation","Private industries_SC","Arts, entertainment, recreation, accommodation, and food services_A","Accommodation and food service_SA","Accommodation_MA","Digital Economy Real Gross Output by Industry",203,0.203,"[Millions of chained (2017) dollars]",2017
"132","Accommodation","Private industries_SC","Arts, entertainment, recreation, accommodation, and food services_A","Accommodation and food service_SA","Accommodation_MA","Digital Economy Real Gross Output by Industry",177,0.177,"[Millions of chained (2017) dollars]",2020
"133","Food services and drinking places","Private industries_SC","Arts, entertainment, recreation, accommodation, and food services_A","Accommodation and food service_SA","Food services and drinking places_MA","Digital Economy Real Gross Output by Industry",143,0.143,"[Millions of chained (2017) dollars]",2022
"134","Food services and drinking places","Private industries_SC","Arts, entertainment, recreation, accommodation, and food services_A","Accommodation and food service_SA","Food services and drinking places_MA","Digital Economy Real Gross Output by Industry",131,0.131,"[Millions of chained (2017) dollars]",2021
"135","Food services and drinking places","Private industries_SC","Arts, entertainment, recreation, accommodation, and food services_A","Accommodation and food service_SA","Food services and drinking places_MA","Digital Economy Real Gross Output by Industry",88,0.088,"[Millions of chained (2017) dollars]",2020
"136","Food services and drinking places","Private industries_SC","Arts, entertainment, recreation, accommodation, and food services_A","Accommodation and food service_SA","Food services and drinking places_MA","Digital Economy Real Gross Output by Industry",87,0.087,"[Millions of chained (2017) dollars]",2019
"137","Food services and drinking places","Private industries_SC","Arts, entertainment, recreation, accommodation, and food services_A","Accommodation and food service_SA","Food services and drinking places_MA","Digital Economy Real Gross Output by Industry",71,0.071,"[Millions of chained (2017) dollars]",2018
"138","Food services and drinking places","Private industries_SC","Arts, entertainment, recreation, accommodation, and food services_A","Accommodation and food service_SA","Food services and drinking places_MA","Digital Economy Real Gross Output by Industry",59,0.059,"[Millions of chained (2017) dollars]",2017
"139","Accommodation and food service","Private industries_SC","Arts, entertainment, recreation, accommodation, and food services_A","Accommodation and food service_TOTAL_SA","Accommodation and food service_TOTAL_MA","Digital Economy Real Gross Output by Industry",471,0.471,"[Millions of chained (2017) dollars]",2022
